,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,mean_vel,method,data,lookBack,maxCost
4,0.96644,0.96644,48322,0.0,1678.0,0.96644,50,0,0,1.0,401.6,0.38,489.19607843137254,50,11,naive,rnr,1,200
5,0.97652,0.97652,48826,0.0,1174.0,0.97652,50,0,0,1.0,530.34,0.5,536.6344086021505,50,11,naive,rnr,1,200
6,0.846,0.846,42300,0.0,7700.0,0.846,50,0,0,1.0,545.18,0.46,509.2040816326531,50,11,naive,rnr,1,200
7,0.98208,0.98208,49104,0.0,896.0,0.98208,50,0,0,1.0,489.8,0.48,567.1818181818181,50,11,naive,rnr,1,200
8,0.92554,0.92554,46277,0.0,3723.0,0.92554,50,0,0,1.0,464.5,0.38,536.6344086021505,50,11,naive,rnr,1,200
9,0.959402984375,0.959402984375,47971,0.0,2029.0,0.95942,50,0,0,1.0,614.88,0.6,624.0,50,11,naive,rnr,1,200
0,0.95198,0.95198,47599,0.0,2401.0,0.95198,50,0,0,1.0,524.24,0.5,548.4505494505495,50,9,naive,rnr,1,120
1,0.946055359375,0.946055359375,47309,0.0,2691.0,0.94618,50,0,0,1.0,675.12,0.64,640.025641025641,50,9,naive,rnr,1,120
2,0.9601,0.9601,48005,0.0,1995.0,0.9601,50,0,0,1.0,675.38,0.64,665.6666666666666,50,9,naive,rnr,1,120
3,0.96069711328125,0.96069711328125,48041,0.0,1959.0,0.96082,50,0,0,1.0,488.8,0.44,536.6344086021505,50,9,naive,rnr,1,120
4,0.9589112890625,0.9589112890625,47947,0.0,2053.0,0.95894,50,0,0,1.0,534.9,0.52,587.2352941176471,50,9,naive,rnr,1,120
5,0.93188,0.93188,46594,0.0,3406.0,0.93188,50,0,0,1.0,569.22,0.52,594.2380952380952,50,9,naive,rnr,1,120
6,0.92632,0.92632,46316,0.0,3684.0,0.92632,50,0,0,1.0,487.56,0.44,514.4639175257732,50,9,naive,rnr,1,120
7,0.97792,0.97792,48896,0.0,1104.0,0.97792,50,0,0,1.0,696.72,0.68,648.3506493506494,50,9,naive,rnr,1,120
8,0.92442,0.92442,46221,0.0,3779.0,0.92442,50,0,0,1.0,428.42,0.36,554.5555555555555,50,9,naive,rnr,1,120
9,0.91504,0.91504,45752,0.0,4248.0,0.91504,50,0,0,1.0,455.74,0.36,484.43689320388347,50,9,naive,rnr,1,120
0,0.89824,0.48817391304347824,44912,4052.0,5088.0,0.8309035743358247,50,0,42,0.5434782608695652,482.5108695652174,0.33695652173913043,489.19607843137254,50,3,naive,rnr,1,40
1,0.88823103125,0.4397183323019802,44417,4191.0,5583.0,0.8196379472606152,50,0,51,0.49504950495049505,436.009900990099,0.2871287128712871,449.45045045045043,50,3,naive,rnr,1,40
2,0.8846289296875,0.16201995049221612,44232,4750.0,5768.0,0.8078904109589041,50,0,223,0.18315018315018314,148.45421245421247,0.0989010989010989,172.61111111111111,50,3,naive,rnr,1,40
3,0.91244,0.4344952380952381,45622,3163.0,4378.0,0.8581532268683106,50,0,55,0.47619047619047616,403.2190476190476,0.2761904761904762,412.22314049586777,50,3,naive,rnr,1,40
4,0.93558,0.5376896551724137,46779,2379.0,3221.0,0.893086924148991,50,0,37,0.5747126436781609,509.14942528735634,0.3563218390804598,504.050505050505,50,3,naive,rnr,1,40
5,0.9016023671875,0.5008902039930555,45083,4250.0,4917.0,0.8310230414746543,50,0,40,0.5555555555555556,488.34444444444443,0.32222222222222224,509.2040816326531,50,3,naive,rnr,1,40
6,0.9045170390625,0.38004917607668065,45231,4197.0,4769.0,0.8345664889200509,50,0,69,0.42016806722689076,348.8067226890756,0.23529411764705882,380.6793893129771,50,3,naive,rnr,1,40
7,0.954,0.671830985915493,47700,1428.0,2300.0,0.927510305670063,50,0,21,0.704225352112676,564.9014084507043,0.4647887323943662,587.2352941176471,50,3,naive,rnr,1,40
8,0.89638,0.358552,44819,4938.0,5181.0,0.8158105500746295,50,0,75,0.4,355.568,0.24,374.9398496240602,50,3,naive,rnr,1,40
9,0.95886,0.28201764705882354,47943,1503.0,2057.0,0.9308778129429354,50,0,120,0.29411764705882354,257.84705882352944,0.21176470588235294,279.8988764044944,50,3,naive,rnr,1,40
0,0.99876,0.99876,49938,0.0,62.0,0.99876,50,0,0,1.0,960.24,0.96,960.5384615384615,50,1,naive,rnr,1,40
1,0.9944,0.9944,49720,0.0,280.0,0.9944,50,0,0,1.0,964.6,0.96,960.5384615384615,50,1,naive,rnr,1,40
2,0.99184,0.99184,49592,0.0,408.0,0.99184,50,0,0,1.0,990.84,0.96,960.5384615384615,50,1,naive,rnr,1,40
3,0.9850465908203125,0.9850465908203125,49254,0.0,746.0,0.98508,50,0,0,1.0,984.04,0.96,960.5384615384615,50,1,naive,rnr,1,40
4,0.99996,0.99996,49998,0.0,2.0,0.99996,50,0,0,1.0,964.76,0.96,924.925925925926,50,1,naive,rnr,1,40
5,0.98774706640625,0.98774706640625,49396,0.0,604.0,0.98792,50,0,0,1.0,947.6,0.92,924.925925925926,50,1,naive,rnr,1,40
6,0.9994,0.9994,49970,0.0,30.0,0.9994,50,0,0,1.0,959.6,0.96,960.5384615384615,50,1,naive,rnr,1,40
7,0.9812012265625,0.9812012265625,49062,0.0,938.0,0.98124,50,0,0,1.0,947.88,0.92,924.925925925926,50,1,naive,rnr,1,40
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,naive,rnr,1,40
9,0.98728,0.98728,49364,0.0,636.0,0.98728,50,0,0,1.0,986.28,0.96,960.5384615384615,50,1,naive,rnr,1,40
